WARNING:root:Defaulting to PJRT_DEVICE=CPU
2025-11-26 19:57:55.838 (   0.000s) [        E0290480]   plugin_attributes.cc:58       1| PluginAttributes::PJRT_Plugin_Initialize
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.835 (   1.996s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.835 (   1.996s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.835 (   1.996s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.835 (   1.996s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.835 (   1.996s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.835 (   1.996s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.835 (   1.996s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.835 (   1.996s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.835 (   1.997s) [        E0290480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-11-26 19:57:57.835 (   1.997s) [        E0290480]     client_instance.cc:797      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-11-26 19:57:57.835 (   1.997s) [        E0290480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-11-26 19:57:57.836 (   1.997s) [        E0290480]      event_instance.cc:223      1| EventInstance::PJRT_Event_OnReady
2025-11-26 19:57:57.836 (   1.997s) [        E0290480]      event_instance.cc:172      1| EventInstance::PJRT_Event_Destroy
2025-11-26 19:57:57.836 (   1.997s) [        E0290480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-11-26 19:57:57.836 (   1.997s) [        E0290480]     client_instance.cc:797      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-11-26 19:57:57.836 (   1.997s) [        E0290480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-11-26 19:57:57.836 (   1.997s) [        E0290480]      event_instance.cc:223      1| EventInstance::PJRT_Event_OnReady
2025-11-26 19:57:57.836 (   1.997s) [        E0290480]      event_instance.cc:172      1| EventInstance::PJRT_Event_Destroy
2025-11-26 19:57:57.836 (   1.997s) [        E0290480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-11-26 19:57:57.836 (   1.997s) [        E0290480]     client_instance.cc:797      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-11-26 19:57:57.836 (   1.997s) [        E0290480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-11-26 19:57:57.836 (   1.997s) [        E0290480]      event_instance.cc:223      1| EventInstance::PJRT_Event_OnReady
2025-11-26 19:57:57.836 (   1.997s) [        E0290480]      event_instance.cc:172      1| EventInstance::PJRT_Event_Destroy
2025-11-26 19:57:57.836 (   1.997s) [        E0290480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-11-26 19:57:57.836 (   1.997s) [        E0290480]     client_instance.cc:797      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-11-26 19:57:57.836 (   1.997s) [        E0290480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-11-26 19:57:57.836 (   1.997s) [        E0290480]      event_instance.cc:223      1| EventInstance::PJRT_Event_OnReady
2025-11-26 19:57:57.836 (   1.997s) [        E0290480]      event_instance.cc:172      1| EventInstance::PJRT_Event_Destroy
2025-11-26 19:57:57.836 (   1.997s) [        E0290480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-11-26 19:57:57.836 (   1.997s) [        E0290480]     client_instance.cc:797      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-11-26 19:57:57.836 (   1.997s) [        E0290480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-11-26 19:57:57.836 (   1.997s) [        E0290480]      event_instance.cc:223      1| EventInstance::PJRT_Event_OnReady
2025-11-26 19:57:57.836 (   1.997s) [        E0290480]      event_instance.cc:172      1| EventInstance::PJRT_Event_Destroy
2025-11-26 19:57:57.836 (   1.997s) [        E0290480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-11-26 19:57:57.836 (   1.997s) [        E0290480]     client_instance.cc:797      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-11-26 19:57:57.836 (   1.997s) [        E0290480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-11-26 19:57:57.836 (   1.997s) [        E0290480]      event_instance.cc:223      1| EventInstance::PJRT_Event_OnReady
2025-11-26 19:57:57.836 (   1.997s) [        E0290480]      event_instance.cc:172      1| EventInstance::PJRT_Event_Destroy
2025-11-26 19:57:57.836 (   1.997s) [        E0290480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-11-26 19:57:57.836 (   1.997s) [        E0290480]     client_instance.cc:797      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-11-26 19:57:57.836 (   1.997s) [        E0290480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-11-26 19:57:57.836 (   1.997s) [        E0290480]      event_instance.cc:223      1| EventInstance::PJRT_Event_OnReady
2025-11-26 19:57:57.836 (   1.997s) [        E0290480]      event_instance.cc:172      1| EventInstance::PJRT_Event_Destroy
2025-11-26 19:57:57.836 (   1.997s) [        E0290480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-11-26 19:57:57.836 (   1.997s) [        E0290480]     client_instance.cc:797      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-11-26 19:57:57.836 (   1.997s) [        E0290480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-11-26 19:57:57.836 (   1.997s) [        E0290480]      event_instance.cc:223      1| EventInstance::PJRT_Event_OnReady
2025-11-26 19:57:57.836 (   1.997s) [        E0290480]      event_instance.cc:172      1| EventInstance::PJRT_Event_Destroy
2025-11-26 19:57:57.842 (   2.003s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.842 (   2.003s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.842 (   2.003s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.842 (   2.003s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.842 (   2.003s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.842 (   2.003s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.842 (   2.003s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.842 (   2.003s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.842 (   2.003s) [        E0290480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-11-26 19:57:57.842 (   2.003s) [        E0290480]     client_instance.cc:797      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-11-26 19:57:57.842 (   2.003s) [        E0290480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-11-26 19:57:57.842 (   2.004s) [        E0290480]      event_instance.cc:223      1| EventInstance::PJRT_Event_OnReady
2025-11-26 19:57:57.842 (   2.004s) [        E0290480]      event_instance.cc:172      1| EventInstance::PJRT_Event_Destroy
2025-11-26 19:57:57.842 (   2.004s) [        E0290480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-11-26 19:57:57.842 (   2.004s) [        E0290480]     client_instance.cc:797      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-11-26 19:57:57.842 (   2.004s) [        E0290480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-11-26 19:57:57.842 (   2.004s) [        E0290480]      event_instance.cc:223      1| EventInstance::PJRT_Event_OnReady
2025-11-26 19:57:57.842 (   2.004s) [        E0290480]      event_instance.cc:172      1| EventInstance::PJRT_Event_Destroy
2025-11-26 19:57:57.842 (   2.004s) [        E0290480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-11-26 19:57:57.842 (   2.004s) [        E0290480]     client_instance.cc:797      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-11-26 19:57:57.842 (   2.004s) [        E0290480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-11-26 19:57:57.842 (   2.004s) [        E0290480]      event_instance.cc:223      1| EventInstance::PJRT_Event_OnReady
2025-11-26 19:57:57.842 (   2.004s) [        E0290480]      event_instance.cc:172      1| EventInstance::PJRT_Event_Destroy
2025-11-26 19:57:57.842 (   2.004s) [        E0290480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-11-26 19:57:57.842 (   2.004s) [        E0290480]     client_instance.cc:797      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-11-26 19:57:57.842 (   2.004s) [        E0290480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-11-26 19:57:57.842 (   2.004s) [        E0290480]      event_instance.cc:223      1| EventInstance::PJRT_Event_OnReady
2025-11-26 19:57:57.842 (   2.004s) [        E0290480]      event_instance.cc:172      1| EventInstance::PJRT_Event_Destroy
2025-11-26 19:57:57.843 (   2.004s) [        E0290480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-11-26 19:57:57.843 (   2.004s) [        E0290480]     client_instance.cc:797      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-11-26 19:57:57.843 (   2.004s) [        E0290480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-11-26 19:57:57.843 (   2.004s) [        E0290480]      event_instance.cc:223      1| EventInstance::PJRT_Event_OnReady
2025-11-26 19:57:57.843 (   2.004s) [        E0290480]      event_instance.cc:172      1| EventInstance::PJRT_Event_Destroy
2025-11-26 19:57:57.843 (   2.004s) [        E0290480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-11-26 19:57:57.843 (   2.004s) [        E0290480]     client_instance.cc:797      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
