host_data,distinct_uid_count,uids,shapes
0x49f12c40,4,6414;6415;11016;11017,"[8, 1];[8, 1];[8, 1];[8, 1]"
0x4a071340,4,2400;2401;2518;2519,[1];[1];[1];[1]
0x4a1f6580,4,4642;4643;4760;4761,[1];[1];[1];[1]
0x70c1d1c0,4,4762;4763;10308;10309,"[8, 1];[8, 1];[8, 1];[8, 1]"
0x70deeb00,4,3344;3345;3462;3463,[1];[1];[1];[1]
0x110c2540,2,9364;9365,"[8, 1];[8, 1]"
0x117c4d40,2,598;599,[3072];[3072]
0x117ccc40,2,582;583,[3072];[3072]
0x117e5fc0,2,506;507,[32];[32]
0x11825100,2,512;513,[3072];[3072]
0x11833dc0,2,590;591,[3072];[3072]
0x13106700,2,8536;8537,[1];[1]
0x14d3e2c0,2,7358;7359,"[8, 1];[8, 1]"
0x15fc94c0,2,7594;7595,"[8, 1];[8, 1]"
0x165e1140,2,5116;5117,"[8, 1];[8, 1]"
0x165f9ec0,2,6060;6061,"[8, 1];[8, 1]"
0x175fad40,2,868;869,"[8, 1];[8, 1]"
0x17611c80,2,3818;3819,"[8, 1];[8, 1]"
0x17864800,2,748;749,"[8, 1];[8, 1]"
0x178c9780,2,10544;10545,"[8, 1];[8, 1]"
0x178cf380,2,618;619,[3072];[3072]
0x185ef700,2,620;621,[3072];[3072]
0x1874d000,2,606;607,[3072];[3072]
0x1887c140,2,11606;11607,"[8, 1];[8, 1]"
0x188876c0,2,1810;1811,[1];[1]
0x197e8d40,2,7712;7713,"[8, 1];[8, 1]"
0x19c4fcc0,2,8654;8655,[1];[1]
0x1a3f5f40,2,8302;8303,"[8, 1];[8, 1]"
0x1a400800,2,9482;9483,"[8, 1];[8, 1]"
0x1a503a40,2,8182;8183,[1];[1]
0x1abe2b00,2,10306;10307,[1];[1]
0x1b540a00,2,6884;6885,[1];[1]
0x1b5c3540,2,8300;8301,[1];[1]
0x1b77b480,2,10660;10661,[1];[1]
0x1b91fb00,2,4052;4053,[1];[1]
0x1be14b00,2,10424;10425,[1];[1]
0x1dd745c0,2,7830;7831,"[8, 1];[8, 1]"
0x1e1dcc80,2,4172;4173,"[8, 1];[8, 1]"
0x1e1fb4c0,2,4290;4291,"[8, 1];[8, 1]"
0x4703d7c0,2,9834;9835,[1];[1]
0x49a3c0c0,2,7002;7003,[1];[1]
0x49b985c0,2,1102;1103,[1];[1]
0x49b997c0,2,3110;3111,"[8, 1];[8, 1]"
0x49bed6c0,2,11488;11489,"[8, 1];[8, 1]"
0x49cf2c00,2,8892;8893,"[8, 1];[8, 1]"
0x49d659c0,2,7004;7005,"[8, 1];[8, 1]"
0x49d6ac00,2,8420;8421,"[8, 1];[8, 1]"
0x49d8a140,2,6178;6179,"[8, 1];[8, 1]"
0x49dc39c0,2,4880;4881,"[8, 1];[8, 1]"
0x49dc4e00,2,7122;7123,"[8, 1];[8, 1]"
0x49dce280,2,10542;10543,[1];[1]
0x49e04100,2,4054;4055,"[8, 1];[8, 1]"
0x49e26700,2,9010;9011,"[8, 1];[8, 1]"
0x49eee480,2,8656;8657,"[8, 1];[8, 1]"
0x4a0610c0,2,5470;5471,"[8, 1];[8, 1]"
0x4a09ad80,2,7240;7241,"[8, 1];[8, 1]"
0x4a0cc600,2,8774;8775,"[8, 1];[8, 1]"
0x4a0cc780,2,5352;5353,"[8, 1];[8, 1]"
0x4a0ff380,2,4408;4409,"[8, 1];[8, 1]"
0x4a120980,2,2166;2167,"[8, 1];[8, 1]"
0x4a18e080,2,4998;4999,"[8, 1];[8, 1]"
0x4a1ea140,2,6530;6531,[1];[1]
0x4cfc9740,2,9128;9129,"[8, 1];[8, 1]"
0x4cfeff80,2,1930;1931,"[8, 1];[8, 1]"
0x4d050f40,2,1220;1221,[1];[1]
0x4d0b4bc0,2,7948;7949,"[8, 1];[8, 1]"
0x4d0b4c40,2,6886;6887,"[8, 1];[8, 1]"
0x4d0fed80,2,8538;8539,"[8, 1];[8, 1]"
0x529e8880,2,2638;2639,"[8, 1];[8, 1]"
0x529e8900,2,3700;3701,"[8, 1];[8, 1]"
0x52c43e80,2,3346;3347,"[8, 1];[8, 1]"
0x681c7380,2,6648;6649,[1];[1]
0x681d0e80,2,6412;6413,[1];[1]
0x6ac6cb40,2,6294;6295,[1];[1]
0x6d9594c0,2,11724;11725,"[8, 1];[8, 1]"
0x6d9e1640,2,5588;5589,"[8, 1];[8, 1]"
0x6d9f1540,2,1340;1341,"[8, 1];[8, 1]"
0x6da49440,2,3464;3465,"[8, 1];[8, 1]"
0x6da7ac00,2,2048;2049,"[8, 1];[8, 1]"
0x6da8e600,2,6768;6769,"[8, 1];[8, 1]"
0x6dadc680,2,6650;6651,"[8, 1];[8, 1]"
0x6daf3f40,2,11134;11135,"[8, 1];[8, 1]"
0x6db09340,2,1576;1577,"[8, 1];[8, 1]"
0x6db2f3c0,2,9246;9247,"[8, 1];[8, 1]"
0x6db64240,2,8418;8419,[1];[1]
0x6dd08980,2,7946;7947,[1];[1]
0x6de4acc0,2,8064;8065,[1];[1]
0x6e161540,2,3936;3937,"[8, 1];[8, 1]"
0x6e1cedc0,2,3226;3227,[1];[1]
0x6e229000,2,3228;3229,"[8, 1];[8, 1]"
0x6e23b340,2,10662;10663,"[8, 1];[8, 1]"
0x7095b800,2,3580;3581,[1];[1]
0x709f2400,2,9718;9719,"[8, 1];[8, 1]"
0x70ab1a40,2,1694;1695,"[8, 1];[8, 1]"
0x70b84840,2,10780;10781,"[8, 1];[8, 1]"
0x70bdb680,2,2756;2757,"[8, 1];[8, 1]"
0x70bf7fc0,2,2284;2285,"[8, 1];[8, 1]"
0x70c77600,2,1812;1813,"[8, 1];[8, 1]"
0x70d73200,2,11370;11371,"[8, 1];[8, 1]"
0x70db3c80,2,7476;7477,"[8, 1];[8, 1]"
0x70e4d300,2,11252;11253,"[8, 1];[8, 1]"
0x70e61ac0,2,5942;5943,"[8, 1];[8, 1]"
0x70e71540,2,8066;8067,"[8, 1];[8, 1]"
0x70efff40,2,9126;9127,[1];[1]
0x70f09580,2,2402;2403,"[8, 1];[8, 1]"
0x70f142c0,2,1928;1929,[1];[1]
0x70f2d980,2,5824;5825,"[8, 1];[8, 1]"
0x70f33c80,2,10426;10427,"[8, 1];[8, 1]"
0x70fb38c0,2,3582;3583,"[8, 1];[8, 1]"
0x710eb240,2,6766;6767,[1];[1]
0x711222c0,2,9954;9955,"[8, 1];[8, 1]"
0x7113d700,2,8184;8185,"[8, 1];[8, 1]"
0x7121ab00,2,1222;1223,"[8, 1];[8, 1]"
0x7123ac00,2,10898;10899,"[8, 1];[8, 1]"
0x7a5ba40,2,548;549,[3072];[3072]
0x7f1f3507f040,2,510;511,"[128256, 3072];[128256, 3072]"
0x7f22c2248040,2,630;631,"[128256, 3072];[128256, 3072]"
0xe7f6f40,2,592;593,[3072];[3072]
0xe7fa580,2,538;539,[3072];[3072]
0xe81eb00,2,542;543,[3072];[3072]
0xe836bc0,2,612;613,[3072];[3072]
0xe84b4c0,2,540;541,[3072];[3072]
0xe850e40,2,522;523,[3072];[3072]
0xe86b240,2,524;525,[3072];[3072]
0xe86cd80,2,530;531,[3072];[3072]
0xe8e0240,2,520;521,[3072];[3072]
0xe9609c0,2,2874;2875,"[8, 1];[8, 1]"
0xe980f40,2,614;615,[3072];[3072]
0xe98fb00,2,528;529,[3072];[3072]
0xe9aa940,2,550;551,[3072];[3072]
0xea3b600,2,5706;5707,"[8, 1];[8, 1]"
0xeaa8a00,2,626;627,[64];[64]
0xeaae900,2,9836;9837,"[8, 1];[8, 1]"
0xeac8f40,2,2992;2993,"[8, 1];[8, 1]"
0xeb14bc0,2,504;505,"[8, 32];[8, 32]"
0xeba5e40,2,622;623,[3072];[3072]
0xebe3bc0,2,534;535,[3072];[3072]
0xec45280,2,4526;4527,"[8, 1];[8, 1]"
0xecadd80,2,4878;4879,[1];[1]
0xed14740,2,554;555,[3072];[3072]
0xed70640,2,544;545,[3072];[3072]
0xee18d40,2,5234;5235,"[8, 1];[8, 1]"
0xee20340,2,526;527,[3072];[3072]
0xee52a00,2,508;509,"[8, 128];[8, 128]"
0xeebd200,2,1338;1339,[1];[1]
0xeed6400,2,1692;1693,[1];[1]
0xef07bc0,2,518;519,[3072];[3072]
0xef61b40,2,568;569,[3072];[3072]
0xefcb640,2,576;577,[3072];[3072]
0xf01ad80,2,570;571,[3072];[3072]
0xf095300,2,514;515,[3072];[3072]
0xf097440,2,532;533,[3072];[3072]
0xf09ce00,2,628;629,[64];[64]
0xf0e1380,2,986;987,"[8, 1];[8, 1]"
0xf164300,2,564;565,[3072];[3072]
0xf287280,2,604;605,[3072];[3072]
0xf33b380,2,536;537,[3072];[3072]
0xf361780,2,588;589,[3072];[3072]
0xf3d5f40,2,546;547,[3072];[3072]
0xf41fd00,2,608;609,[3072];[3072]
0xf42e800,2,602;603,[3072];[3072]
0xf435600,2,574;575,[3072];[3072]
0xf46fec0,2,566;567,[3072];[3072]
0xf487200,2,572;573,[3072];[3072]
0xf4bb300,2,586;587,[3072];[3072]
0xf4c0f00,2,556;557,[3072];[3072]
0xf4ef100,2,594;595,[3072];[3072]
0xf4fdf40,2,584;585,[3072];[3072]
0xf56e880,2,600;601,[3072];[3072]
0xf5cd480,2,560;561,[3072];[3072]
0xf5d5340,2,10072;10073,"[8, 1];[8, 1]"
0xf5de780,2,596;597,[3072];[3072]
0xf609880,2,580;581,[3072];[3072]
0xf617900,2,624;625,[3072];[3072]
0xf62b540,2,562;563,[3072];[3072]
0xf634100,2,632;633,[];[]
0xf6535c0,2,516;517,[3072];[3072]
0xf65b780,2,578;579,[3072];[3072]
0xf694f80,2,610;611,[3072];[3072]
0xf6d4540,2,616;617,[3072];[3072]
0xf733ec0,2,558;559,[3072];[3072]
0xf75db80,2,552;553,[3072];[3072]
0xf77e380,2,1104;1105,"[8, 1];[8, 1]"
0x100d3380,1,106,"[8, 4, 128, 128]"
0x10251300,1,57,"[8, 4, 128, 128]"
0x10451340,1,55,"[8, 4, 128, 128]"
0x10651380,1,53,"[8, 4, 128, 128]"
0x108513c0,1,51,"[8, 4, 128, 128]"
0x10a51400,1,49,"[8, 4, 128, 128]"
0x10c51440,1,48,"[8, 4, 128, 128]"
0x10e51480,1,93,"[8, 4, 128, 128]"
0x10f514c0,1,94,"[8, 4, 128, 128]"
0x1133ac00,1,3,"[8, 4, 128, 128]"
0x11536b80,1,5,"[8, 4, 128, 128]"
0x1169f680,1,1,"[8, 4, 128, 128]"
0x118d3700,1,47,"[8, 4, 128, 128]"
0x11ad3740,1,45,"[8, 4, 128, 128]"
0x11cd3780,1,43,"[8, 4, 128, 128]"
0x11ed37c0,1,42,"[8, 4, 128, 128]"
0x120d3800,1,41,"[8, 4, 128, 128]"
0x122d3840,1,39,"[8, 4, 128, 128]"
0x124d3880,1,37,"[8, 4, 128, 128]"
0x126d38c0,1,35,"[8, 4, 128, 128]"
0x128d3900,1,33,"[8, 4, 128, 128]"
0x12ad3940,1,32,"[8, 4, 128, 128]"
0x12cd3980,1,31,"[8, 4, 128, 128]"
0x12ed39c0,1,109,"[8, 4, 128, 128]"
0x12fd3a00,1,110,"[8, 4, 128, 128]"
0x139a3bc0,1,86,"[8, 4, 128, 128]"
0x13aa3c00,1,87,"[8, 4, 128, 128]"
0x1441cc00,1,29,"[8, 4, 128, 128]"
0x1461cc40,1,27,"[8, 4, 128, 128]"
0x1481cc80,1,26,"[8, 4, 128, 128]"
0x14a1ccc0,1,25,"[8, 4, 128, 128]"
0x14c1cd00,1,23,"[8, 4, 128, 128]"
0x14e1cd40,1,21,"[8, 4, 128, 128]"
0x1501cd80,1,19,"[8, 4, 128, 128]"
0x1521cdc0,1,17,"[8, 4, 128, 128]"
0x1541ce00,1,15,"[8, 4, 128, 128]"
0x1561ce40,1,13,"[8, 4, 128, 128]"
0x1581ce80,1,12,"[8, 4, 128, 128]"
0x15a1cec0,1,11,"[8, 4, 128, 128]"
0x15c1cf00,1,9,"[8, 4, 128, 128]"
0x15e1cf40,1,8,"[8, 4, 128, 128]"
0x1601cf80,1,7,"[8, 4, 128, 128]"
0x1621cfc0,1,10,"[8, 4, 128, 128]"
0x1641d000,1,14,"[8, 4, 128, 128]"
0x1661d040,1,18,"[8, 4, 128, 128]"
0x1681d080,1,22,"[8, 4, 128, 128]"
0x16a1d0c0,1,24,"[8, 4, 128, 128]"
0x16c1d100,1,28,"[8, 4, 128, 128]"
0x16e1d140,1,30,"[8, 4, 128, 128]"
0x1701d180,1,34,"[8, 4, 128, 128]"
0x1721d1c0,1,36,"[8, 4, 128, 128]"
0x1741d200,1,40,"[8, 4, 128, 128]"
0x1761d240,1,83,"[8, 4, 128, 128]"
0x1771d280,1,84,"[8, 4, 128, 128]"
0x18634480,1,2,"[8, 4, 128, 128]"
0x1891d140,1,73,"[8, 4, 128, 128]"
0x18b1d180,1,71,"[8, 4, 128, 128]"
0x18d1d1c0,1,97,"[8, 4, 128, 128]"
0x18e1d200,1,98,"[8, 4, 128, 128]"
0x18fef540,1,75,"[8, 4, 128, 128]"
0x191ef580,1,20,"[8, 4, 128, 128]"
0x193ef5c0,1,6,"[8, 4, 128, 128]"
0x19574c00,1,101,"[8, 4, 128, 128]"
0x19674c40,1,102,"[8, 4, 128, 128]"
0x197f4680,1,81,"[8, 4, 128, 128]"
0x199f46c0,1,69,"[8, 4, 128, 128]"
0x19ee33c0,1,77,"[8, 4, 128, 128]"
0x1a0e3400,1,16,"[8, 4, 128, 128]"
0x1a2e3440,1,4,"[8, 4, 128, 128]"
0x1a7b0c40,1,79,"[8, 4, 128, 128]"
0x1a9b0c80,1,89,"[8, 4, 128, 128]"
0x1aab0cc0,1,90,"[8, 4, 128, 128]"
0x1b7f33c0,1,67,"[8, 4, 128, 128]"
0x1b9f3400,1,65,"[8, 4, 128, 128]"
0x1bbf3440,1,38,"[8, 4, 128, 128]"
0x1bdf3480,1,0,"[8, 4, 128, 128]"
0x1c240cc0,1,44,"[8, 4, 128, 128]"
0x1c440d00,1,46,"[8, 4, 128, 128]"
0x1c640d40,1,50,"[8, 4, 128, 128]"
0x1c840d80,1,52,"[8, 4, 128, 128]"
0x1ca40dc0,1,54,"[8, 4, 128, 128]"
0x1cc40e00,1,56,"[8, 4, 128, 128]"
0x1ce40e40,1,58,"[8, 4, 128, 128]"
0x1d040e80,1,60,"[8, 4, 128, 128]"
0x1d240ec0,1,64,"[8, 4, 128, 128]"
0x1d440f00,1,66,"[8, 4, 128, 128]"
0x1d640f40,1,68,"[8, 4, 128, 128]"
0x1d840f80,1,70,"[8, 4, 128, 128]"
0x1da40fc0,1,72,"[8, 4, 128, 128]"
0x1dc41000,1,74,"[8, 4, 128, 128]"
0x1de41040,1,76,"[8, 4, 128, 128]"
0x1e041080,1,78,"[8, 4, 128, 128]"
0x1e2410c0,1,80,"[8, 4, 128, 128]"
0x1e441100,1,82,"[8, 4, 128, 128]"
0x1e641140,1,85,"[8, 4, 128, 128]"
0x1e841180,1,88,"[8, 4, 128, 128]"
0x1ea411c0,1,91,"[8, 4, 128, 128]"
0x1ec41200,1,92,"[8, 4, 128, 128]"
0x1ee41240,1,95,"[8, 4, 128, 128]"
0x1f041280,1,96,"[8, 4, 128, 128]"
0x1f2412c0,1,99,"[8, 4, 128, 128]"
0x1f441300,1,100,"[8, 4, 128, 128]"
0x1f641340,1,103,"[8, 4, 128, 128]"
0x1f841380,1,104,"[8, 4, 128, 128]"
0x1fa413c0,1,107,"[8, 4, 128, 128]"
0x1fc41400,1,108,"[8, 4, 128, 128]"
0x1fe41440,1,111,"[8, 4, 128, 128]"
0x202414c0,1,118,"[1536, 3072]"
0x20b414c0,1,119,"[1536, 3072]"
0x21441500,1,120,"[512, 3072]"
0x21741500,1,121,"[512, 3072]"
0x21a41540,1,122,"[512, 3072]"
0x21d41540,1,123,"[512, 3072]"
0x22041580,1,138,"[3072, 1536]"
0x232415c0,1,132,"[1536, 3072]"
0x23b415c0,1,133,"[1536, 3072]"
0x24441600,1,134,"[512, 3072]"
0x24741600,1,135,"[512, 3072]"
0x24a41640,1,136,"[512, 3072]"
0x24d41640,1,137,"[512, 3072]"
0x25041680,1,152,"[3072, 1536]"
0x262416c0,1,146,"[1536, 3072]"
0x26b416c0,1,147,"[1536, 3072]"
0x27441700,1,148,"[512, 3072]"
0x27741700,1,149,"[512, 3072]"
0x27a41740,1,150,"[512, 3072]"
0x27d41740,1,151,"[512, 3072]"
0x28041780,1,166,"[3072, 1536]"
0x292417c0,1,160,"[1536, 3072]"
0x29b417c0,1,161,"[1536, 3072]"
0x2a441800,1,162,"[512, 3072]"
0x2a741800,1,163,"[512, 3072]"
0x2aa41840,1,164,"[512, 3072]"
0x2ad41840,1,165,"[512, 3072]"
0x2b041880,1,180,"[3072, 1536]"
0x2c2418c0,1,174,"[1536, 3072]"
0x2cb418c0,1,175,"[1536, 3072]"
0x2d441900,1,176,"[512, 3072]"
0x2d741900,1,177,"[512, 3072]"
0x2da41940,1,178,"[512, 3072]"
0x2dd41940,1,179,"[512, 3072]"
0x2e041980,1,194,"[3072, 1536]"
0x2f2419c0,1,188,"[1536, 3072]"
0x2fb419c0,1,189,"[1536, 3072]"
0x30441a00,1,190,"[512, 3072]"
0x30741a00,1,191,"[512, 3072]"
0x30a41a40,1,192,"[512, 3072]"
0x30d41a40,1,193,"[512, 3072]"
0x31041a80,1,208,"[3072, 1536]"
0x32241ac0,1,202,"[1536, 3072]"
0x32b41ac0,1,203,"[1536, 3072]"
0x33441b00,1,204,"[512, 3072]"
0x33741b00,1,205,"[512, 3072]"
0x33a41b40,1,206,"[512, 3072]"
0x33d41b40,1,207,"[512, 3072]"
0x34041b80,1,222,"[3072, 1536]"
0x35241bc0,1,216,"[1536, 3072]"
0x35b41bc0,1,217,"[1536, 3072]"
0x36441c00,1,218,"[512, 3072]"
0x36741c00,1,219,"[512, 3072]"
0x36a41c40,1,220,"[512, 3072]"
0x36d41c40,1,221,"[512, 3072]"
0x37041c80,1,236,"[3072, 1536]"
0x38241cc0,1,230,"[1536, 3072]"
0x38b41cc0,1,231,"[1536, 3072]"
0x39441d00,1,232,"[512, 3072]"
0x39741d00,1,233,"[512, 3072]"
0x39a41d40,1,234,"[512, 3072]"
0x39d41d40,1,235,"[512, 3072]"
0x3a041d80,1,250,"[3072, 1536]"
0x3b241dc0,1,244,"[1536, 3072]"
0x3bb41dc0,1,245,"[1536, 3072]"
0x3c441e00,1,246,"[512, 3072]"
0x3c741e00,1,247,"[512, 3072]"
0x3ca41e40,1,248,"[512, 3072]"
0x3cd41e40,1,249,"[512, 3072]"
0x3d041e80,1,264,"[3072, 1536]"
0x3e241ec0,1,258,"[1536, 3072]"
0x3eb41ec0,1,259,"[1536, 3072]"
0x3f441f00,1,260,"[512, 3072]"
0x3f741f00,1,261,"[512, 3072]"
0x3fa41f40,1,262,"[512, 3072]"
0x3fd41f40,1,263,"[512, 3072]"
0x40041f80,1,278,"[3072, 1536]"
0x41241fc0,1,272,"[1536, 3072]"
0x41b41fc0,1,273,"[1536, 3072]"
0x42442000,1,274,"[512, 3072]"
0x42742000,1,275,"[512, 3072]"
0x42a42040,1,276,"[512, 3072]"
0x42d42040,1,277,"[512, 3072]"
0x43042080,1,292,"[3072, 1536]"
0x442420c0,1,286,"[1536, 3072]"
0x44b420c0,1,287,"[1536, 3072]"
0x45442100,1,288,"[512, 3072]"
0x45742100,1,289,"[512, 3072]"
0x45a42140,1,290,"[512, 3072]"
0x45d42140,1,291,"[512, 3072]"
0x46042180,1,306,"[3072, 1536]"
0x472421c0,1,300,"[1536, 3072]"
0x47b421c0,1,301,"[1536, 3072]"
0x48442200,1,302,"[512, 3072]"
0x48742200,1,303,"[512, 3072]"
0x48a42240,1,304,"[512, 3072]"
0x48d42240,1,305,"[512, 3072]"
0x49042280,1,320,"[3072, 1536]"
0x4a2422c0,1,314,"[1536, 3072]"
0x4ab422c0,1,315,"[1536, 3072]"
0x4b442300,1,316,"[512, 3072]"
0x4b742300,1,317,"[512, 3072]"
0x4ba42340,1,318,"[512, 3072]"
0x4bd42340,1,319,"[512, 3072]"
0x4c042380,1,334,"[3072, 1536]"
0x4d2423c0,1,328,"[1536, 3072]"
0x4db423c0,1,329,"[1536, 3072]"
0x4e442400,1,330,"[512, 3072]"
0x4e742400,1,331,"[512, 3072]"
0x4ea42440,1,332,"[512, 3072]"
0x4ed42440,1,333,"[512, 3072]"
0x4f042480,1,348,"[3072, 1536]"
0x502424c0,1,342,"[1536, 3072]"
0x50b424c0,1,343,"[1536, 3072]"
0x51442500,1,344,"[512, 3072]"
0x51742500,1,345,"[512, 3072]"
0x51a42540,1,346,"[512, 3072]"
0x51d42540,1,347,"[512, 3072]"
0x52042580,1,362,"[3072, 1536]"
0x532425c0,1,356,"[1536, 3072]"
0x53b425c0,1,357,"[1536, 3072]"
0x54442600,1,358,"[512, 3072]"
0x54742600,1,359,"[512, 3072]"
0x54a42640,1,360,"[512, 3072]"
0x54d42640,1,361,"[512, 3072]"
0x55042680,1,376,"[3072, 1536]"
0x562426c0,1,370,"[1536, 3072]"
0x56b426c0,1,371,"[1536, 3072]"
0x57442700,1,372,"[512, 3072]"
0x57742700,1,373,"[512, 3072]"
0x57a42740,1,374,"[512, 3072]"
0x57d42740,1,375,"[512, 3072]"
0x58042780,1,390,"[3072, 1536]"
0x592427c0,1,384,"[1536, 3072]"
0x59b427c0,1,385,"[1536, 3072]"
0x5a442800,1,386,"[512, 3072]"
0x5a742800,1,387,"[512, 3072]"
0x5aa42840,1,388,"[512, 3072]"
0x5ad42840,1,389,"[512, 3072]"
0x5b042880,1,404,"[3072, 1536]"
0x5c2428c0,1,398,"[1536, 3072]"
0x5cb428c0,1,399,"[1536, 3072]"
0x5d442900,1,400,"[512, 3072]"
0x5d742900,1,401,"[512, 3072]"
0x5da42940,1,402,"[512, 3072]"
0x5dd42940,1,403,"[512, 3072]"
0x5e042980,1,418,"[3072, 1536]"
0x5f2429c0,1,412,"[1536, 3072]"
0x5fb429c0,1,413,"[1536, 3072]"
0x60442a00,1,414,"[512, 3072]"
0x60742a00,1,415,"[512, 3072]"
0x60a42a40,1,416,"[512, 3072]"
0x60d42a40,1,417,"[512, 3072]"
0x61042a80,1,432,"[3072, 1536]"
0x62242ac0,1,426,"[1536, 3072]"
0x62b42ac0,1,427,"[1536, 3072]"
0x63442b00,1,428,"[512, 3072]"
0x63742b00,1,429,"[512, 3072]"
0x63a42b40,1,430,"[512, 3072]"
0x63d42b40,1,431,"[512, 3072]"
0x64042b80,1,446,"[3072, 1536]"
0x65242bc0,1,440,"[1536, 3072]"
0x65b42bc0,1,441,"[1536, 3072]"
0x66442c00,1,442,"[512, 3072]"
0x66742c00,1,443,"[512, 3072]"
0x66a42c40,1,444,"[512, 3072]"
0x66d42c40,1,445,"[512, 3072]"
0x67042c80,1,460,"[3072, 1536]"
0x68242cc0,1,454,"[1536, 3072]"
0x68b42cc0,1,455,"[1536, 3072]"
0x69442d00,1,456,"[512, 3072]"
0x69742d00,1,457,"[512, 3072]"
0x69a42d40,1,458,"[512, 3072]"
0x69d42d40,1,459,"[512, 3072]"
0x6a042d80,1,474,"[3072, 1536]"
0x6b242dc0,1,468,"[1536, 3072]"
0x6bb42dc0,1,469,"[1536, 3072]"
0x6c442e00,1,470,"[512, 3072]"
0x6c742e00,1,471,"[512, 3072]"
0x6ca42e40,1,472,"[512, 3072]"
0x6cd42e40,1,473,"[512, 3072]"
0x6d042e80,1,488,"[3072, 1536]"
0x6e242ec0,1,482,"[1536, 3072]"
0x6eb42ec0,1,483,"[1536, 3072]"
0x6f442f00,1,484,"[512, 3072]"
0x6f742f00,1,485,"[512, 3072]"
0x6fa42f40,1,486,"[512, 3072]"
0x6fd42f40,1,487,"[512, 3072]"
0x70042f80,1,502,"[3072, 1536]"
0x71242fc0,1,496,"[1536, 3072]"
0x71b42fc0,1,497,"[1536, 3072]"
0x72443000,1,498,"[512, 3072]"
0x72743000,1,499,"[512, 3072]"
0x72a43040,1,500,"[512, 3072]"
0x72d43040,1,501,"[512, 3072]"
0x742430c0,1,116,"[3072, 4096]"
0x75a43100,1,117,"[3072, 4096]"
0x77243140,1,124,"[3072, 1536]"
0x77b43180,1,125,"[3072, 1536]"
0x784431c0,1,130,"[3072, 4096]"
0x79c43200,1,131,"[3072, 4096]"
0x7b443240,1,139,"[3072, 1536]"
0x7bd43280,1,144,"[3072, 4096]"
0x7d5432c0,1,145,"[3072, 4096]"
0x7ed43300,1,153,"[3072, 1536]"
0x7f1e21fce040,1,490,"[4096, 3072]"
0x7f1e237ce040,1,491,"[4096, 3072]"
0x7f1e24fcf040,1,492,"[4096, 3072]"
0x7f1e267cf040,1,493,"[4096, 3072]"
0x7f1e2afd1040,1,476,"[4096, 3072]"
0x7f1e2c7d1040,1,477,"[4096, 3072]"
0x7f1e2dfd2040,1,478,"[4096, 3072]"
0x7f1e2f7d2040,1,479,"[4096, 3072]"
0x7f1e33fd4040,1,462,"[4096, 3072]"
0x7f1e357d4040,1,463,"[4096, 3072]"
0x7f1e36fd5040,1,464,"[4096, 3072]"
0x7f1e387d5040,1,465,"[4096, 3072]"
0x7f1e3cfd7040,1,448,"[4096, 3072]"
0x7f1e3e7d7040,1,449,"[4096, 3072]"
0x7f1e3ffd8040,1,450,"[4096, 3072]"
0x7f1e417d8040,1,451,"[4096, 3072]"
0x7f1e45fda040,1,434,"[4096, 3072]"
0x7f1e477da040,1,435,"[4096, 3072]"
0x7f1e48fdb040,1,436,"[4096, 3072]"
