WARNING:root:Defaulting to PJRT_DEVICE=CPU
2025-11-27 20:46:41.151 (   0.000s) [        95479480]   plugin_attributes.cc:58       1| PluginAttributes::PJRT_Plugin_Initialize
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.447 (   2.295s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.447 (   2.295s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.447 (   2.295s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.447 (   2.295s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.447 (   2.295s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.447 (   2.295s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.447 (   2.295s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.447 (   2.295s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.448 (   2.296s) [        95479480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-11-27 20:46:43.448 (   2.296s) [        95479480]     client_instance.cc:797      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-11-27 20:46:43.448 (   2.296s) [        95479480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-11-27 20:46:43.448 (   2.296s) [        95479480]     client_instance.cc:853      1| Created buffer instance for host to device buffer copy, buffer instance: 0x20931fa0 with uid 0 and shape <[32, 2]>
2025-11-27 20:46:43.448 (   2.296s) [        95479480]      event_instance.cc:223      1| EventInstance::PJRT_Event_OnReady
2025-11-27 20:46:43.448 (   2.296s) [        95479480]      event_instance.cc:172      1| EventInstance::PJRT_Event_Destroy
2025-11-27 20:46:43.448 (   2.296s) [        95479480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-11-27 20:46:43.448 (   2.296s) [        95479480]     client_instance.cc:797      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-11-27 20:46:43.448 (   2.296s) [        95479480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-11-27 20:46:43.448 (   2.296s) [        95479480]     client_instance.cc:853      1| Created buffer instance for host to device buffer copy, buffer instance: 0x20855ad0 with uid 1 and shape <[32, 2]>
2025-11-27 20:46:43.448 (   2.296s) [        95479480]      event_instance.cc:223      1| EventInstance::PJRT_Event_OnReady
2025-11-27 20:46:43.448 (   2.296s) [        95479480]      event_instance.cc:172      1| EventInstance::PJRT_Event_Destroy
2025-11-27 20:46:43.448 (   2.296s) [        95479480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-11-27 20:46:43.448 (   2.296s) [        95479480]     client_instance.cc:797      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-11-27 20:46:43.448 (   2.296s) [        95479480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-11-27 20:46:43.448 (   2.296s) [        95479480]     client_instance.cc:853      1| Created buffer instance for host to device buffer copy, buffer instance: 0x208106b0 with uid 2 and shape <[32, 2]>
2025-11-27 20:46:43.448 (   2.296s) [        95479480]      event_instance.cc:223      1| EventInstance::PJRT_Event_OnReady
2025-11-27 20:46:43.448 (   2.296s) [        95479480]      event_instance.cc:172      1| EventInstance::PJRT_Event_Destroy
2025-11-27 20:46:43.448 (   2.296s) [        95479480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-11-27 20:46:43.448 (   2.296s) [        95479480]     client_instance.cc:797      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-11-27 20:46:43.448 (   2.296s) [        95479480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-11-27 20:46:43.448 (   2.296s) [        95479480]     client_instance.cc:853      1| Created buffer instance for host to device buffer copy, buffer instance: 0x205112b0 with uid 3 and shape <[32, 2]>
2025-11-27 20:46:43.448 (   2.296s) [        95479480]      event_instance.cc:223      1| EventInstance::PJRT_Event_OnReady
2025-11-27 20:46:43.448 (   2.296s) [        95479480]      event_instance.cc:172      1| EventInstance::PJRT_Event_Destroy
2025-11-27 20:46:43.448 (   2.296s) [        95479480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-11-27 20:46:43.448 (   2.296s) [        95479480]     client_instance.cc:797      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-11-27 20:46:43.448 (   2.296s) [        95479480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-11-27 20:46:43.448 (   2.296s) [        95479480]     client_instance.cc:853      1| Created buffer instance for host to device buffer copy, buffer instance: 0x207fddd0 with uid 4 and shape <[32, 2]>
2025-11-27 20:46:43.448 (   2.297s) [        95479480]      event_instance.cc:223      1| EventInstance::PJRT_Event_OnReady
2025-11-27 20:46:43.448 (   2.297s) [        95479480]      event_instance.cc:172      1| EventInstance::PJRT_Event_Destroy
2025-11-27 20:46:43.448 (   2.297s) [        95479480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-11-27 20:46:43.448 (   2.297s) [        95479480]     client_instance.cc:797      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-11-27 20:46:43.448 (   2.297s) [        95479480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-11-27 20:46:43.448 (   2.297s) [        95479480]     client_instance.cc:853      1| Created buffer instance for host to device buffer copy, buffer instance: 0x207f1e60 with uid 5 and shape <[32, 2]>
2025-11-27 20:46:43.448 (   2.297s) [        95479480]      event_instance.cc:223      1| EventInstance::PJRT_Event_OnReady
2025-11-27 20:46:43.448 (   2.297s) [        95479480]      event_instance.cc:172      1| EventInstance::PJRT_Event_Destroy
2025-11-27 20:46:43.448 (   2.297s) [        95479480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-11-27 20:46:43.448 (   2.297s) [        95479480]     client_instance.cc:797      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-11-27 20:46:43.448 (   2.297s) [        95479480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-11-27 20:46:43.448 (   2.297s) [        95479480]     client_instance.cc:853      1| Created buffer instance for host to device buffer copy, buffer instance: 0x206867d0 with uid 6 and shape <[32, 2]>
2025-11-27 20:46:43.448 (   2.297s) [        95479480]      event_instance.cc:223      1| EventInstance::PJRT_Event_OnReady
2025-11-27 20:46:43.448 (   2.297s) [        95479480]      event_instance.cc:172      1| EventInstance::PJRT_Event_Destroy
2025-11-27 20:46:43.448 (   2.297s) [        95479480]     device_instance.cc:82       1| DeviceInstance::PJRT_Device_DefaultMemory
2025-11-27 20:46:43.448 (   2.297s) [        95479480]     client_instance.cc:797      1| ClientInstance::PJRT_Client_BufferFromHostBuffer
2025-11-27 20:46:43.448 (   2.297s) [        95479480]     memory_instance.cc:57       1| MemoryInstance::getDevice
2025-11-27 20:46:43.448 (   2.297s) [        95479480]     client_instance.cc:853      1| Created buffer instance for host to device buffer copy, buffer instance: 0x20b594a0 with uid 7 and shape <[32, 2]>
2025-11-27 20:46:43.449 (   2.297s) [        95479480]      event_instance.cc:223      1| EventInstance::PJRT_Event_OnReady
2025-11-27 20:46:43.449 (   2.297s) [        95479480]      event_instance.cc:172      1| EventInstance::PJRT_Event_Destroy
2025-11-27 20:46:43.449 (   2.297s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.449 (   2.297s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.449 (   2.297s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.449 (   2.297s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.449 (   2.297s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.449 (   2.297s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.449 (   2.297s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.449 (   2.297s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.449 (   2.297s) [        95479480]     buffer_instance.cc:610      1| BufferInstance::PJRT_Buffer_IsDeleted
2025-11-27 20:46:43.450 (   2.298s) [        95479480]     buffer_instance.cc:610      1| BufferInstance::PJRT_Buffer_IsDeleted
2025-11-27 20:46:43.450 (   2.298s) [        95479480]     buffer_instance.cc:610      1| BufferInstance::PJRT_Buffer_IsDeleted
2025-11-27 20:46:43.450 (   2.298s) [        95479480]     buffer_instance.cc:610      1| BufferInstance::PJRT_Buffer_IsDeleted
2025-11-27 20:46:43.450 (   2.298s) [        95479480]     buffer_instance.cc:610      1| BufferInstance::PJRT_Buffer_IsDeleted
2025-11-27 20:46:43.450 (   2.298s) [        95479480]     buffer_instance.cc:610      1| BufferInstance::PJRT_Buffer_IsDeleted
2025-11-27 20:46:43.450 (   2.298s) [        95479480]     buffer_instance.cc:610      1| BufferInstance::PJRT_Buffer_IsDeleted
2025-11-27 20:46:43.450 (   2.298s) [        95479480]     buffer_instance.cc:610      1| BufferInstance::PJRT_Buffer_IsDeleted
2025-11-27 20:46:43.450 (   2.298s) [        95479480]     buffer_instance.cc:610      1| BufferInstance::PJRT_Buffer_IsDeleted
2025-11-27 20:46:43.450 (   2.298s) [        95479480]     buffer_instance.cc:610      1| BufferInstance::PJRT_Buffer_IsDeleted
2025-11-27 20:46:43.450 (   2.298s) [        95479480]     buffer_instance.cc:610      1| BufferInstance::PJRT_Buffer_IsDeleted

Compilation Analysis: ================================================================================
Compilation Analysis: Compilation Cause
Compilation Analysis:   user torch_xla.sync
Compilation Analysis: Graph Info: 
Compilation Analysis:   Graph Hash: c16af384439f953595580c16450248e0
Compilation Analysis:   Number of Graph Inputs: 1
Compilation Analysis:   Number of Graph Outputs: 1
Compilation Analysis: Python Frame Triggered Execution: 
Compilation Analysis:   sync (/localdev/jameszianxu/tt-xla/venv/lib/python3.11/site-packages/torch_xla/torch_xla.py:87)
Compilation Analysis:   main (/localdev/jameszianxu/tt-xla/examples/pytorch/repro5.py:50)
Compilation Analysis:   <module> (/localdev/jameszianxu/tt-xla/examples/pytorch/repro5.py:55)
Compilation Analysis: --------------------------------------------------------------------------------
Compilation Analysis: ================================================================================
2025-11-27 20:46:43.455 (   2.303s) [        95479480]     client_instance.cc:754      1| ClientInstance::PJRT_Client_Compile
2025-11-27 20:46:43.455 (   2.304s) [        95479480]      module_builder.cc:229      1| ModuleBuilder::buildModule
